Category,Type,Shot/Movement Name,Definition/Description,Primary Purpose/Effect,AI Prompt Keyword,Prompt Example,Image Example
**Shots**,Distance & Size,Extreme Wide Shot (EWS),The subject is barely visible; emphasizes the vast landscape or location.,"Establish the vastness, show isolation, or emphasize scale.","EWS, Vast, Landscape","Extreme wide shot of [img 1] standing alone in a vast, empty frozen tundra. The subject is small in the distance, surrounded by massive snowy mountains. Cinematic lighting",e7b6a654-aa5c-41a5-9f29-52bc8efa0eb6.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/qXo1IHpWDkRLRSolSs2D-w/eIOczxRv_ISZcaM8jga-OugMnttxr0Y0gjLE8b6W65_bEudLS7a0ocj1cM7gHnWXfOL0NNIZK4n8w-JZjTDrs0t6zjJ6lpNF1efa3msSc2SHukOvtjMIm3HZgyvRgD0Tgp_JeZy3cCZCVqyPXVD8bO6i11kpKneq8W-zlFCeFFmYwskbc4u4cpdufkX5gZ5f/oeR_6ZzmrknaGcvn4-R1ohGg9D1wD23IX5qg8tPrXDM)
**Shots**,Distance & Size,Wide Shot (WS) / Long Shot,Shows the full subject (head to toe) and the environment.,"Establish context, show subject's relationship to surroundings.","Wide Shot, Long Shot","Wide shot of [img 1] standing full body in a snowstorm. She is wearing fur armor, boots visible, centered in a snowy forest clearing. Environmental context.",b612fd33-78b7-4c53-8f8c-c9268d02a12d.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/cGVeq4mP36XPlqajbKuXOQ/LBo-rOBYZCa3IArywE-TDX3s2Ugp4QLUPb2PcaZ26aWQmLFFKOV3HMP_kmWqDdzCDYif1Fy9qXAA_XnHH9HOGW2dhuRE6-_AK7knhLnxmYv-NTM7T-DDABe_OMsBnKo1tIL2Ls8hxSjIlv6dxugX0XYKhMZ5qt7SoAnnbxJluFfztHDT0oOwoRdzJqcChVZj/LofAv7Yb_3rvNwTyPUdIwZO3vGg_5ZjJahsv5YFRT6E)
**Shots**,Distance & Size,Full Shot,"Frames the subject from head to toe, filling the frame roughly top to bottom.",Show full body language and costume/attire clearly.,"Full Shot, Head to Toe","Full body shot of [img 1] from head to toe. She stands confidently in the snow, holding a weapon at her side. Detailed costume design",0a5bba9f-6929-4357-8c7a-43d63f2dce34.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/nX2WZrrseg30lU8FEwGj0w/l-keL_gZTPBuFHVDQ2FSqVaVGoZnHnSGR0xb_x-BnSX-Dq75p4xgEx3xJQMY9dst8KuSZ5qbhYzKhvM-EcBSzrhtHv-EALoar0Wprp6OWL4W3E4E2MPtvWiN1phCEYUWJllpXICJzNaHbuvPB0LsLumaqe10NfTH2f2db6RAsiMA78jFEO27FeZ2BxzDU622/4yVgU0qzmwYJDFGXpvwPLJzpVzf_uEdIM6DKQdTJlF4)
**Shots**,Distance & Size,Medium Long Shot (MLS),"Knees up. Also known as a ""3/4 shot.""",More focus on the subject while retaining some environment context.,"MLS, Three-Quarter Shot","Medium long shot of [img 1] framed from the knees up. She is walking through deep snow, looking towards the horizon. 3/4 angle view.",76f3719a-6eff-43e9-b26c-307aa5ae2762.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/np7aoJUsAPlrZfkCo1xvBg/mcw85BfrR68w4IR8PqLQ5mVqHIKhB6917DkVOCc4GWFaxgxEwW7Iv0kAe69ERSAr9JqBILqD0pS55uPVE0KrjmwDV7GfNu8aTFFVNYk_oz0bwZCU1cwh37X_nUTaR4toEb-UW9TsBje7l3YG9pb7dvY77ppPJUgIjDcr35cp9MgG8QatamSnosW2RCsW5UBU/erO3Uk8VGG1dHRQutHxT_1GnpveAjo4RBUICtIdtzkw)
**Shots**,Distance & Size,Cowboy Shot,Mid-thighs up. Originates from Westerns (to show the gun holster).,"Powerful and confident framing, emphasizes action readiness.","Cowboy Shot, Mid-Thighs Up","Cowboy shot of [img 1] framed from mid-thigh up. Focus on her hands resting on her belt, confident stance, snowy background with soft bokeh.",31d3297f-05ec-4b87-8c39-50c518cc46da.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/H8aK6rVwVdQliwwZguTYRQ/Z0OoK2NcCMhalQeAbDRZmxEaoYFNP8C5JHe7MpLPL4IzOKGQrC1hMWQ59AG5yhlxHW_AaOz6-i-_e9zQwXZBaaV4DwZLzpnb1WKuw_fhqdBTQ-Kind9U9RSFXsd8Gv58COe2yjsizA7R70u0NGFZ1YcA1Q4FmPkF2dVOdHXfunKfgtI7T6VVZ7B3XflEH5k6/Z2Ec0Boh38dXGizF2rMqMjdgaSe-GBD1OQWVAIt2Jk8)
**Shots**,Distance & Size,Medium Shot (MS),Waist up. The standard storytelling shot.,"Captures body language and face, ideal for dialogue.","Medium Shot, MS, Waist Up",Medium shot of [img 1] from the waist up. She is looking directly at the camera with a serious expression. Snowflakes falling in the foreground.,90e9961a-ba56-4ee3-b88c-bf05d8e47ade.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/LDbvfPL0MzXkfmJXYCAIdg/Jm6-SbhOaUWvffsZo-qZJEhxGCx1RVvdycWSsLf7ilpv_m77hzXt9Tjw0eXTSs_nRAOANNwAMawRr5IPJqbN3U-8QuhA69-qsPPJe7c7aC0c0KDIxPn830K7z5t-44qrjr8tZdM0UEj-f1sSKNoAYOLXRNYU9rcH_U-tkHtYzDTrHecl1_pgnAGrQdFo-bHU/MehoV-HRPm1gTKDuGVUysxDWt7B-xzujCyQijZHfcuU)
**Shots**,Distance & Size,Medium Close-Up (MCU),Chest/Shoulders up.,Focuses on the face but keeps some distance for context.,"MCU, Chest Up",Medium close-up of [img 1] framed from chest up. Focus on her face and fur collar. The wind is blowing her braided hair. Intimate and dramatic,79004d1e-54fd-4229-bc85-df10bc4971a4.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/9FfFGmdgh3-WFjYLasLQ-A/jU-kFUcYAPsCNEfEQ_2VGG9dKZER5x-KQ_veJQPeTTkWRGAIpUGxYk0z7UIyfqx7WQHF4J1tBWMkmfvuofYch_BDFODxokMbG6Qw2NN0HuoY0f83RVlqrea5pMTt6FGHpgvu4syBCh-jQQE9hi-G6RV2olZaO7uy1BM0MN4kI5N9xdwCJa7bYy4mwRkNrVIa/2D36iu1K_2jBmtMdeM_IE52dP_AJ6tqDs78CFQml4Yk)
**Shots**,Distance & Size,Close-Up (CU),Head and neck only.,"Pure emotion and facial expression, high intimacy.","Close-Up, CU, Pure Emotion","Close-up of [img 1], framing only her head and neck. Her piercing eyes looking into the lens. Frosty breath visible in the cold air.",450493be-7574-4958-b8b3-e76a925041df.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/p1UznM_ZWwLub-vGXa3sjg/5-POQDb3eMcwE_UQYZ2tskI3CZh-DJQ8jg3ss8kmC7iykJPjgf3Lwc1EUF54waXKRfjPrJK1GZ__CTW6W0dmVrsl8Yo0rrbzPvkiULZ_ZIDMK5-VfPX_4MpUk1S6ppx15MdDD4FmqWDEzjG-K7WF0GcyT8PibvnEhqnkCZNKr_mKuef9aFKusq1xRdt1v2bP/1RQCm3jyX-_szQrKhb3iD7wNKnW0bsGH1KoFx0JXrVA)
**Shots**,Distance & Size,Extreme Close-Up (ECU),"Focuses on a specific detail (just the eyes, a mouth, a finger pressing a button).","High intensity, highlights critical detail, pure focus.","ECU, Focus on Detail","Extreme close-up on the eyes of [img 1]. Macro detail of the iris, snowflakes caught in her eyelashes, war paint texture. Intense gaze",897df60e-e43a-4af8-9a24-899d3df1da6e.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/aivRy5FmGjq1AsEOCbq6Jw/M8nAtAQAg6VOjIdjnsuyrGhyDG3Fx_pcuqO12Xhn2hSNaXIekMJ5G8iDTEd8dlKYSbl_wXowW0axnB2x_IzruLVt2rQ4BqeZTDeYVGtnmsMOV8bmLMZaozrukoaBG1Fv9VLZhrqnaRpLmUZwEMwIga6xJcCm74rR7SbJqrYvr9IWrNbRo3YujyKFufuFV4_n/aa6VdVBrAJwJObsIoR4Gb_0r0XX6IefQVEwa3IWiQKU)
**Shots**,Distance & Size,Macro Shot,"Microscopic level detail (e.g., texture of fabric, a bug on a leaf).","Reveal texture or highly detailed, unseen elements.","Macro Shot, Microscopic Detail",Macro shot of the texture of [img 1]'s fur armor and the frost on her skin. Microscopic details of snow crystals and leather grain,00dc258d-cfb1-4c24-b7ff-945aa832ce6c.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/S4m7OsN595H5DzNKX34viA/eNFMjQ01P7RkOuJ-LAAbm6MnZ10O_MPHWvu-LUe1NcKRUJMOwiucn8RMzUtXrgeaChiN2dsxFBbEC7Jut1JfFRGxxQUSd4Qrr5Bc9BS5ZtRVqJG4Yd5O1d5YMavv9-lv28gZQWcq1ejbD0gTvg5R74R2PBgfLDITEiXnN2sYGz0SDUvlFNC4qD2L_8AmWwDk/1G7-vs-IrJDXEDCe-LM3AYVIxH3JkPTWsSlrZp1AVmg)
**Shots**,Angles,Eye-Level,Neutral perspective.,"Realism; how we see the world naturally, creates connection.","Eye Level, Neutral Angle","Eye-level shot of [img 1] facing the camera. Neutral perspective, realistic documentary style portrait in the snow.",9d4f08bc-8a87-4d0c-ae53-f888ada3c430.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/F_zzYUSDmp21u8hR70WNpw/O5PGkskWOuQTL-1Y7r1iD9-YuNfF13iX7BOzfjjgswO3cEglOZtVhowTTD8hEalqJkIQHeANvsOoSyB9GwylHj86V2mKQOTyRrcOFeYVqpTNM0jwrru5A2LE9fAI43t9Bvj4Lqw9TH93nfhKRvRHcoJsxV0deBZqLncUR0xnWU239j96kMibR9GGlrinFYpu/NL8tjUmJnJ8FXFQ12lIiNPMqox-TiQP4ef8oETo2hjo)
